Iteration, Discriminator Loss, Generator Loss, Accuracy
1550, 1.373378, 0.680639, 0.517578
1560, 1.385598, 0.618547, 0.500000
1570, 1.374818, 0.662858, 0.500000
1580, 1.367580, 0.612733, 0.505859
1590, 1.361362, 0.653750, 0.500000
1600, 1.352666, 0.620155, 0.539062
1610, 1.366161, 0.617647, 0.515625
1620, 1.330570, 0.749047, 0.500000
1630, 1.353855, 0.629059, 0.503906
1640, 1.378544, 0.633713, 0.535156
1650, 1.364483, 0.726467, 0.500000
1660, 1.331796, 0.940959, 0.500000
1670, 1.398854, 0.594297, 0.541016
1680, 1.380205, 0.615792, 0.494141
1690, 1.373745, 0.667960, 0.500000
1700, 1.369161, 0.842623, 0.500000
1710, 1.354318, 0.648628, 0.513672
1720, 1.386392, 0.597141, 0.494141
1730, 1.393197, 0.674395, 0.527344
1740, 1.353654, 0.591731, 0.507812
1750, 1.427018, 0.565808, 0.494141
1760, 1.297660, 0.739429, 0.513672
1770, 1.352516, 0.659091, 0.500000
1780, 1.359290, 0.652023, 0.500000
1790, 1.362811, 0.455963, 0.490234
1800, 1.348687, 0.646199, 0.503906
1810, 1.398034, 0.555325, 0.513672
1820, 1.374268, 0.615637, 0.531250
1830, 1.371572, 0.613127, 0.505859
1840, 1.365084, 0.638950, 0.503906
1850, 1.371497, 0.642494, 0.500000
1860, 1.343797, 0.607947, 0.587891
1870, 1.348111, 0.690815, 0.500000
1880, 1.384627, 0.668606, 0.500000
1890, 1.376247, 0.570587, 0.468750
1900, 1.405718, 0.600159, 0.498047
1910, 1.359836, 0.644911, 0.537109
1920, 1.391988, 0.540295, 0.474609
1930, 1.327727, 0.694427, 0.525391
1940, 1.358843, 0.773733, 0.500000
1950, 1.372345, 0.608642, 0.482422
1960, 1.371615, 0.734914, 0.500000
1970, 1.376393, 0.710435, 0.500000
1980, 1.367010, 0.658609, 0.500000
1990, 1.307774, 0.710140, 0.500000
2000, 1.361880, 0.710117, 0.507812
2010, 1.366676, 0.635878, 0.519531
2020, 1.367398, 0.690078, 0.519531
2030, 1.362975, 0.588827, 0.443359
2040, 1.356572, 0.511663, 0.447266
2050, 1.365660, 0.799579, 0.500000
2060, 1.410174, 0.602402, 0.496094
2070, 1.371961, 0.737920, 0.500000
2080, 1.374061, 0.680817, 0.500000
2090, 1.393688, 0.638741, 0.498047
2100, 1.357795, 0.684315, 0.509766
2110, 1.376303, 0.621681, 0.496094
2120, 1.390619, 0.835421, 0.500000
2130, 1.374353, 0.672516, 0.500000
2140, 1.375734, 0.715949, 0.500000
2150, 1.365675, 0.609520, 0.529297
2160, 1.366593, 0.686485, 0.500000
2170, 1.377133, 0.792090, 0.500000
2180, 1.369291, 0.569605, 0.503906
2190, 1.364889, 0.679112, 0.500000
2200, 1.375463, 0.677692, 0.500000
2210, 1.391759, 0.823386, 0.500000
2220, 1.394855, 0.774631, 0.500000
2230, 1.374477, 0.710685, 0.500000
2240, 1.373365, 0.676050, 0.500000
2250, 1.385833, 0.698918, 0.500000
2260, 1.387839, 0.620270, 0.509766
2270, 1.374638, 0.709421, 0.500000
2280, 1.376616, 0.743849, 0.500000
2290, 1.375935, 0.730390, 0.500000
2300, 1.378601, 0.686850, 0.500000
2310, 1.382189, 0.738164, 0.500000
2320, 1.380623, 0.706554, 0.500000
2330, 1.361105, 0.748851, 0.500000
2340, 1.324697, 0.582321, 0.529297
2350, 1.377528, 0.683468, 0.521484
2360, 1.366160, 0.671751, 0.500000
2370, 1.378294, 0.665973, 0.500000
2380, 1.373822, 0.688075, 0.500000
2390, 1.376410, 0.715936, 0.500000
2400, 1.378736, 0.705437, 0.500000
2410, 1.383930, 0.686517, 0.500000
2420, 1.365828, 0.621923, 0.500000
2430, 1.382990, 0.703992, 0.500000
